, Beans, Bread, Cerel,ChdBby, Chips,  Corn,  Eggs,  Fish, Fruit,  Meat,  Milk,Pepper,  Rice, Salza, Sauce,  Soda,Tomato,Tortya,Vegges,YogChs,
 Beans,1,-0.119192031,-0.180384093,0.025626121,-0.062413032,0.429875417,-0.510764636,-0.370254576,-0.008499887,-0.631591412,-0.081970683,0.277227369,0.410582959,0.518676503,0.519790508,-0.402853449,0.221343913,0.415646947,0.262888961,0.554755473, 
Bread,-0.119192031,1,0.443486241,0.005102455,0.117934818,-0.133414007,0.002142665,-0.06554966,0.042419025,0.010855202,0.439444569,0.202481526,-0.080385234,0.020529521,-0.076756592,-0.056666177,-0.274252778,-0.205388236,-0.025672345,-0.070492194, 
Cerel,-0.180384093,0.443486241,1,0.013284605,0.343239354,-0.307527279,-0.014856813,-0.03572814,-0.011527568,-0.020112128,0.287183352,0.014181785,-0.36269282,0.076243878,-0.042262714,0.270307422,-0.473658931,-0.346984332,-0.396199395,-0.409450247, 
ChdBby,0.025626121,0.005102455,0.013284605,1,-0.043332111,-0.038101859,-0.015588698,0.03472611,-0.016240393,-0.042999428,-0.035433165,-0.05114572,0.017570903,-0.015233001,0.035421604,-0.030359118,-0.023426085,-0.048529015,0.000584122,-0.027213293, 
Chips,-0.062413032,0.117934818,0.343239354,-0.043332111,1,0.283142617,0.189370677,-0.31316529,-0.006608446,0.296139636,0.046205821,0.394675637,-0.508348714,0.488706092,-0.457744745,0.536280512,0.207119452,0.365250943,-0.540792205,-0.294218112, 
Corn,0.429875417,-0.133414007,-0.307527279,-0.038101859,0.283142617,1,0.107880821,-0.251525694,0.021345837,0.021877612,0.226590569,0.717365355,0.347685507,0.629735437,-0.290616769,-0.322353035,0.69120257,0.831860344,0.320373261,0.528589992, 
Eggs,-0.510764636,0.002142665,-0.014856813,-0.015588698,0.189370677,0.107880821,1,0.448528106,-0.043123839,0.536851937,0.24130679,0.109901643,-0.041464153,-0.041043842,-0.685902841,0.069049481,0.252296516,0.126297087,-0.032844396,-0.273157008, 
Fish,-0.370254576,-0.06554966,-0.03572814,0.03472611,-0.31316529,-0.251525694,0.448528106,1,-0.044330674,0.077202146,0.15543405,-0.337359367,0.221195863,-0.26949571,-0.1435366,-0.202751864,-0.100599148,-0.285053341,0.127660612,-0.346409872, 
Fruit,-0.008499887,0.042419025,-0.011527568,-0.016240393,-0.006608446,0.021345837,-0.043123839,-0.044330674,1,-0.002111874,0.001480482,0.000415935,-0.020599894,-0.010942836,0.009694314,-0.001969806,-0.039500925,-0.031349876,0.004978034,0.019011463, 
Meat,-0.631591412,0.010855202,-0.020112128,-0.042999428,0.296139636,0.021877612,0.536851937,0.077202146,-0.002111874,1,0.090306239,0.104320688,-0.358571767,-0.222724213,-0.728209805,0.389065942,0.196113363,0.059110849,-0.210121532,-0.268626528, 
Milk,-0.081970683,0.439444569,0.287183352,-0.035433165,0.046205821,0.226590569,0.24130679,0.15543405,0.001480482,0.090306239,1,0.486490688,0.246882513,0.221872923,-0.334333836,-0.416855396,0.013311955,0.108116965,0.300068637,0.141850774, 
Pepper,0.277227369,0.202481526,0.014181785,-0.05114572,0.394675637,0.717365355,0.109901643,-0.337359367,0.000415935,0.104320688,0.486490688,1,0.189782716,0.625015504,-0.396237397,-0.269449533,0.506453757,0.67749237,0.232364637,0.434036114, 
Rice,0.410582959,-0.080385234,-0.36269282,0.017570903,-0.508348714,0.347685507,-0.041464153,0.221195863,-0.020599894,-0.358571767,0.246882513,0.189782716,1,0.171709448,0.212290853,-0.801927909,0.255632457,0.261363526,0.689606385,0.563660864, 
Salza,0.518676503,0.020529521,0.076243878,-0.015233001,0.488706092,0.629735437,-0.041043842,-0.26949571,-0.010942836,-0.222724213,0.221872923,0.625015504,0.171709448,1,-0.097658082,-0.168933916,0.402625505,0.642604296,0.016321881,0.254267555, 
Sauce,0.519790508,-0.076756592,-0.042262714,0.035421604,-0.457744745,-0.290616769,-0.685902841,-0.1435366,0.009694314,-0.728209805,-0.334333836,-0.396237397,0.212290853,-0.097658082,1,-0.209388404,-0.372940345,-0.313569448,0.123545491,0.198210842, 
Soda,-0.402853449,-0.056666177,0.270307422,-0.030359118,0.536280512,-0.322353035,0.069049481,-0.202751864,-0.001969806,0.389065942,-0.416855396,-0.269449533,-0.801927909,-0.168933916,-0.209388404,1,-0.166717161,-0.20441882,-0.755345956,-0.590985905, 
Tomato,0.221343913,-0.274252778,-0.473658931,-0.023426085,0.207119452,0.69120257,0.252296516,-0.100599148,-0.039500925,0.196113363,0.013311955,0.506453757,0.255632457,0.402625505,-0.372940345,-0.166717161,1,0.736283377,0.227633398,0.382287155, 
Tortya,0.415646947,-0.205388236,-0.346984332,-0.048529015,0.365250943,0.831860344,0.126297087,-0.285053341,-0.031349876,0.059110849,0.108116965,0.67749237,0.261363526,0.642604296,-0.313569448,-0.20441882,0.736283377,1,0.217692599,0.469362352, 
Vegges,0.262888961,-0.025672345,-0.396199395,0.000584122,-0.540792205,0.320373261,-0.032844396,0.127660612,0.004978034,-0.210121532,0.300068637,0.232364637,0.689606385,0.016321881,0.123545491,-0.755345956,0.227633398,0.217692599,1,0.60477155, 
YogChs,0.554755473,-0.070492194,-0.409450247,-0.027213293,-0.294218112,0.528589992,-0.273157008,-0.346409872,0.019011463,-0.268626528,0.141850774,0.434036114,0.563660864,0.254267555,0.198210842,-0.590985905,0.382287155,0.469362352,0.60477155,1, 
